id,name,slug,category_id,shippable,released,created,serving,usage,details,sourcing_notes,citations
1,Nature-Fresh Mouth Rinse,mouth-rinse,4,t,t,1580226693,1 tsp. (~3 g),"A blend of dry ingredients, rehydrate with a few tablespoons of warm water.
Swish for 30-60 seconds (1-3x daily) after brushing with a natural clay toothpaste.","{""Improving oral health is a consisent challenge across all cultures."",""While not a replacement for proper brushing and flossing, a cleansing rinse is an essential final step in daily oral care.""}",,
2,Nature-Fresh Skin Lotion,lotion,4,t,t,1580226693,,Apply on desired areas (3x weekly - 3x daily),"{""Improving skin health and tone may be desired on many parts of the body, but the overall recipe is still the same."",""A mixture of natural moisturizers and antioxidants, this salve moisturizes and improves skin tone naturally.""}",,
3,Focus Formula,focus,3,t,t,1580226693,1 tsp. (~3 g),"Take 1 serving daily, preferrably with Breakfast.","{""A blend of minerals and traditional herbs all with significant research into ADHD or depression-related lack of concentration, this formula is well put together and agreeable."",""Effects begin to work quickly, and with physician approval, this product can be taken on an ongoing basis.""}","{""The magnesium salts are sourced as 99%+ pure threonate and glycinate salts from professional labs"",""The green tea extract is performed on Sencha from Yame or Shizuoka, using near boiling water.""}",
4,T-Boost,t-boost,3,t,t,1580226693,1 tsp. (~2 g),Take 1 serving mid day with food.,"{""Curated scientific research points in the direction of specific supplements."",""This formula is designed to boost testosterone levels in both young and older men.""}",,
5,Relaxation Formula,relaxation,3,t,t,1580226693,1 tsp. (~2 g),Take 1 serving with Lunch or Dinner.,"{""'A formula designed to reduce stress and anxiety over a period of time.'"",""'It targets GABA and Serotonin receptors in the brain to bring about a relaxed"",""fully-present state.'""}","{""The magnesium salts are sourced as 99%+ pure threonate and glycinate salts from professional labs"",""Lemon Balm and Bacopa extract are obtained from professional labs. Bacopa comes in the form of Synapsa. The Lemon Balmn is obtained after several washes at a high potentcy of both rosmarinic acid and relevant plant flavones."",""The green tea extract is performed on Sencha from Yame or Shizuoka using near boiling water."",""The CBD extract is performed on specific Marihuana strains with no detectable THC trace. We use pure 95% Polish drinking alcohol. Both Extracts are reduced and added to the remaining dry ingredients which may give an oily feel.'""}",
8,PreBoost,preboost,3,t,f,1580226693,,,,,
9,Magnesium L-Threonate,magtein,1,t,f,1580226693,,,,,
10,Immune Boost,immune,3,t,t,1584137304,1 tsp. (~2 g),Take 1 serving mid day with food.,"{""A collection of herbs and tonics which modulate the immune system both ways."",""Sometimes we may have overactive immune systems just as we may have suppressed ones."",""This formula utilizes the full power of nature's offerings to provide reliable and firm immune improvements.""}",,"{""Guggenheim AG, Wright KM, Zwickey HL. Immune Modulation From Five Major Mushrooms: Application to Integrative Oncology. Integr Med (Encinitas). 2014;13(1):32-44.""}"
6,Premium Membership,membership,5,f,t,1580349351,,,,,
7,Trainer (Commercial),trainer-mem,5,f,t,1580349351,,,,,
11,Magnesium Glycinate,mg-gly,1,t,f,1593192833,,,,,
12,Magnesium Malate,mg-mal,1,t,f,1593192833,,,,,
